Penn World Tables 6.1

"COL0","YEAR"
"COL1","Belgium/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Belgium/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Belgium/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Belgium/CURRENT SAVINGS (unit %)"
"COL5","Belgium/EXCHANGE RATE (unit US=1)"
"COL6","Belgium/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Belgium/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Belgium/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Belgium/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Belgium/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Belgium/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Belgium/POPULATION (unit 000S)"
"COL13","Belgium/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Belgium/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Belgium/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Belgium/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Belgium/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17"

1950,55.9471322520,66.4851957200,64.3312885990,22.6000708720,49.9999999100,10.9147334080,15.8527627670,27.3032585120,22.8893194410,39.1903290940,64.5422035210,8618.2191102000,74.7651978410,88.5908686600,68.8242043130,46.4555925620,
1951,57.2790535920,61.9062060740,62.5500326480,26.8007828590,49.9900120000,11.2930110670,16.6317404320,25.6444423260,22.0531491970,42.8907288940,77.3997762660,8668.0930645000,73.2120625410,85.2970633960,69.9745876660,55.4117178630,
1952,57.4298025090,61.2047521510,62.0388950890,27.1147928150,49.9900120000,11.6804550340,17.1456641490,25.7635530130,21.8822262460,41.8558840880,71.2229862790,8717.9670189000,72.9095002360,89.5689692740,70.5025178480,56.1402290410,
1953,55.5165947080,60.6672406980,59.3533694920,26.3908200470,49.9900120000,12.9419392540,18.4381001740,26.8278980880,22.0979696120,42.9013721400,67.5788448360,8757.8661853000,74.1202706910,90.1118401430,70.1576252830,51.5706678670,
1954,59.4007012970,60.1925918710,58.7858244240,27.0791581460,49.9900120000,12.7282499830,17.7798867840,28.4710025950,23.7314951720,45.8575400710,69.3286563740,8807.7401457000,73.7792386910,88.1176526270,69.2531746830,51.2507417520,
1955,59.0993171110,59.6166484340,59.8727752820,28.3351716570,49.9900120000,12.0481799090,16.7667056400,26.6526703670,22.6853896280,50.0189657290,75.3563406680,8847.6393092000,72.8271724490,85.5254576520,68.7588945210,52.0797528870,
1956,61.1905292490,57.5798444210,58.9929011550,30.5906140650,49.9999999500,11.8295415150,16.5121215410,29.4283417790,24.9956906840,53.7487602850,81.9983548440,8907.4880534000,72.6859846810,84.7821264810,67.9739085550,51.9976729400,
1957,61.5147590350,58.7283185490,59.8626619500,29.3390716630,49.9999999500,11.9326097880,16.2849056990,29.2542926780,24.4652814630,53.5556470470,80.6518217000,8967.3368036000,73.2425211380,84.1158634270,68.6234729290,53.0314505830,
1958,62.3163719520,58.9919274820,60.2940253760,27.8510159760,49.9900120500,13.1570565420,17.8305389110,25.1570239530,21.2752686420,53.1048306300,73.4733682780,9027.1855548000,71.2544517780,81.4091247030,68.0439773130,53.5256432930,
