Penn World Tables 6.1

"COL0","YEAR"
"COL1","China/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","China/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","China/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","China/CURRENT SAVINGS (unit %)"
"COL5","China/EXCHANGE RATE (unit US=1)"
"COL6","China/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","China/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","China/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","China/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","China/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","China/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","China/POPULATION (unit 000S)"
"COL13","China/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","China/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","China/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","China/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","China/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17"

1950,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,
1952,4.9855792823,75.1872416420,70.1620683270,7.1380692526,2.4618089200,17.6746891050,23.8850224600,8.1570650021,6.3782126042,6.1285537243,5.5051898570,569000.0000000000,44.8431748080,36.4931286930,48.4238755680,107.2802479300,
1953,5.0200281890,72.9417793310,68.2477988180,8.9903149118,2.4618089200,18.0679057570,24.6176044290,9.8981067675,7.7972061628,6.2216579198,4.8631706552,581000.0000000000,50.9378319430,41.7200534170,54.7569843730,106.6988178700,
1954,5.1116345389,72.9263138210,69.1165262840,10.6120928240,2.4618089200,16.4615933560,22.3151718740,10.8927067970,8.8110207908,7.1806649205,5.4044172668,595000.0000000000,51.1380635310,41.0903901160,55.7285562080,108.5836690700,
1955,5.0494547531,73.3424003090,69.8492798270,8.9793603973,2.4618089200,17.6782392940,23.3297607520,9.8491584368,7.9496794903,6.3000271928,4.7887757229,609000.0000000000,51.0088844390,39.6127316740,54.5711359390,107.9464906900,
1956,5.3743075227,71.7020635870,68.5055250750,10.9342002970,2.4618089200,17.3637361150,22.6017891030,10.5871120000,8.3857427449,7.7688287676,5.7269569064,621000.0000000000,51.3514353010,39.1763682540,54.8464831050,104.2172538100,
1957,5.4811720745,71.2205070420,68.5808626870,11.6152366730,2.4618089200,17.1642562840,22.1291240870,11.1550691270,8.8129702643,7.7065170534,5.6993842222,637000.0000000000,49.0195327050,36.9016797100,52.5721014080,99.3657942540,
1958,5.9337198323,67.5400504960,65.5789809310,16.0766561580,2.4618089200,16.3832933460,21.0925227180,15.6202106730,12.5494376730,8.1547420554,5.3251973272,653000.0000000000,52.1399806040,39.0001176420,57.2637904390,98.5744678330,
1959,5.3626535736,59.7561782900,58.6757456740,23.1017780360,2.4618089200,17.1420436740,21.9877218970,22.5827655810,18.2266835840,11.0546573540,6.4158910097,666000.0000000000,55.2712772110,40.4259363400,62.7983860120,99.6982405430,
1960,5.3326203666,58.4515267920,56.6543112440,20.3682972110,2.4618089200,21.1801759970,26.4127590120,20.3430468600,16.3568410980,12.7943985880,8.6583576630,667070.0160000000,57.1717258760,41.2418565890,62.6276263780,100.5698327600,99.9973527640
1961,4.8591995213,69.3334913880,66.6861822120,10.8037577490,2.4618089200,19.8627508630,23.9834548840,10.4025187620,8.3471435684,9.7456413451,7.2427420251,660329.9840000000,57.8936753760,40.6985452290,59.1197608760,102.4654943300,99.9967569060
1962,4.7615794002,75.4296456590,72.6706162750,7.4400535795,2.4618089200,17.1303007610,20.3941926900,6.4797308521,5.3532968510,8.2337675714,6.8564111163,665769.9840000000,53.8200153360,37.3995061780,54.1364553130,102.0671386900,100.0000000000
1963,4.7672082456,70.7734244480,68.3091951000,9.8679490485,2.4618089200,19.3586265040,22.7506739630,8.8959756765,7.3588049801,8.1037466296,6.8931031385,682334.9760000000,52.2724027640,35.7131112250,53.6536119280,103.6825655800,100.0000000000
1964,4.9452297043,68.4917251130,66.3454710420,11.3626855540,2.4618089200,20.1455893330,23.5022948400,10.5730183580,8.7849229607,8.1990022355,6.5536395302,698355.0080000000,54.5987448680,36.6876271980,56.0453878920,102.3005401200,100.0000000000
1965,5.0626649830,66.2366312670,64.8341940230,12.8715703770,2.4618089200,20.8917983560,23.9313022760,12.4264616370,10.4180504940,8.9389903673,6.7583207046,715185.0240000000,56.6215121080,37.2541145680,58.2273991930,102.0482550200,100.0000000000
1966,5.0348862987,64.0086406380,63.2731206090,14.3317917960,2.4618089200,21.6595675670,24.5828606630,14.0317830720,11.9570968880,8.3032911949,6.6689045317,735400.0000000000,54.6689347910,35.3121502650,56.9420765370,100.6995633500,100.0000000000
1967,4.8608186546,70.3164496270,69.6320794050,10.8092060400,2.4618089200,18.8743443330,21.0963535320,10.4931372550,8.9929465782,7.3860321455,6.1487919171,754550.0160000000,52.0576196580,33.0983487420,53.2573577270,97.5576834730,100.0000000000
1968,4.4163396217,69.7068894590,69.2624399040,11.0758373830,2.4618089200,19.2172731580,21.1821132850,10.6927619020,9.2931393770,7.6789974161,6.1726900831,774510.0160000000,49.7763095610,31.0599646630,51.1651753510,96.3528307230,100.0000000000
1969,4.6302211051,67.1957518760,66.8918340300,11.5936737060,2.4618089200,21.2105744190,23.0747360530,11.0218297910,9.5470530903,6.6304954515,5.4638754264,796025.0240000000,49.1000980930,30.1070256460,49.6827774820,90.9070142340,100.0000000000
1970,4.8598000440,62.6468092750,63.2075931660,15.5096792060,2.4618089200,21.8435115190,23.3895687240,15.4131134770,13.5808650460,6.3302482297,4.9087584975,818315.0080000000,48.9109105100,29.2281860540,50.7693571370,88.8512522020,100.0000000000
1971,4.8458989274,59.8045710630,60.9748850550,16.4339737940,2.4618089200,23.7614551430,25.0344553300,15.8502355910,14.2139342480,6.8728261000,5.0553240965,841105.0240000000,48.4626204100,28.1268671220,49.6504462180,86.3987310480,100.0000000000
1972,4.7204748655,60.7414352670,62.1072477190,15.0778372140,2.2450668810,24.1807275190,25.0250922970,14.4156494030,13.0974548740,7.8768113948,5.8603611109,862030.0160000000,51.5895688450,29.3543224190,52.1395306900,92.6766142520,100.0000000000
1973,4.6248711616,60.4419029210,61.6567110770,15.9018101420,1.9894160030,23.6562869370,24.1239509040,15.4083609470,13.8901581290,9.0946878427,8.0178827695,881939.9680000000,56.1732919250,31.5545418050,57.2093841490,100.6612282300,100.0000000000
1974,4.6999683640,59.7205764350,61.4561461600,15.5351876520,1.9611999990,24.7442359130,25.0428493250,15.7629990640,14.1030600830,10.1476320970,10.1024600180,900350.0160000000,52.9145344540,29.2769573500,53.3519313630,92.8011776390,100.0000000000
1975,4.9894310666,58.2671285940,60.2181609360,17.1203821790,1.8597999810,24.6124892270,24.9277586260,17.0990967320,15.1128130410,9.0252959656,9.4695910940,916395.0080000000,50.9247521120,28.1852401960,51.6304606120,87.7823610630,100.0000000000
1976,4.6647477298,58.8725223910,60.6300259580,16.1021209430,1.9414000510,25.0253566660,25.2752079630,15.8331456360,14.0468382080,7.9838539905,8.8434137202,930684.9920000000,46.0131172210,25.4698753810,46.3595632060,80.6653196210,100.0000000000
1977,4.6877354293,57.4999789790,59.4857763790,16.4685141890,1.8578000070,26.0315068320,25.8592715800,16.1809171310,14.5582036550,7.8677967357,8.4160582465,943454.9760000000,46.8198531180,25.2642239600,46.8040352920,81.4006046130,100.0256097900
1978,4.4282062835,53.5006583130,55.8333705090,19.7096757700,1.6835999490,26.7896659170,26.9366577280,20.0001357330,18.0562023920,8.5919881576,9.2590483155,956164.9920000000,54.3973173870,29.5266244430,53.8789744440,85.1117440840,100.0651196200
1979,4.7898583351,54.4954676760,56.6593498640,18.1836702430,1.5549999480,27.3208620820,27.5651828150,18.6236366930,16.8468572890,10.8619510480,10.5053217010,969004.9920000000,55.5574268050,30.2610184610,54.6062137380,87.5372106050,99.9210044080
1980,5.0727026489,54.4941195690,56.3983660140,17.6032605880,1.4983999730,27.9026198430,27.7411660880,17.9006353290,16.3304455710,11.7494418270,11.7101354730,981235.0080000000,56.4042853920,30.4686231500,54.8296125960,88.0086036750,99.9778653330
1981,5.2546932537,55.8456231940,57.6580264090,16.4454951850,1.7045420410,27.7088816210,27.3813684640,16.2356404610,14.8726413060,12.7547539380,13.9302686490,993860.9920000000,46.4981847160,25.0318696450,44.8157056280,72.7929743520,99.9566057910
1982,5.8926844064,55.3368528620,57.3150041240,17.8541380410,1.8925420050,26.8090090970,26.7584032120,16.3398676740,14.8382374910,12.5362392160,13.5818918090,1008598.9760000000,39.7522617510,21.5866403070,38.4709410950,61.8338671840,100.1344741000
1983,6.0558281323,55.8038974000,57.5447465520,17.5111614210,1.9756749870,26.6849411790,26.5652563920,16.7485227530,15.3678414410,12.9047030650,13.4422571890,1023288.0000000000,37.4134161750,20.2825200700,36.4060385310,58.7387271270,100.3855421700
1984,6.3501260924,56.2448722430,57.7764042300,17.1387202540,2.3200418950,26.6164075030,26.3147791310,17.1221624870,16.0397740610,16.4351565200,15.7362472400,1036803.0080000000,31.6352504920,17.1602891550,31.1829910750,51.4956516840,100.4978385200
1985,6.4749980139,56.6656057820,60.0392197590,16.5052176300,2.9366579060,26.8291765880,27.3613928000,20.3336984980,19.6675100420,28.1451368440,22.3101576730,1051012.9920000000,27.9467928400,15.1294363040,27.5587379060,42.8770804960,100.2755343400
1986,6.7194834755,56.1435313200,57.8540494380,17.7434395380,3.4527919290,26.1130291430,26.0687661760,20.0900099350,19.0754609610,24.4474859150,24.7292418770,1066758.0160000000,24.6942965070,13.4210226520,24.4222402280,37.9613532440,99.9921585540
1987,6.9491709822,55.6262701450,56.6956941660,19.5255173060,3.7221000190,24.8482125480,25.0978303540,19.3703582680,18.4462857600,23.1017237140,25.1357641580,1083997.9520000000,23.8251855910,13.2783838870,23.7596620950,37.0168356300,99.9331243470
1988,6.8723274694,57.0981746620,58.0011013020,19.3710012520,3.7221000190,23.5308240860,23.6653361460,20.3641731950,19.2282666620,26.0997970430,24.5810055870,1101596.0320000000,27.7124688700,15.4057601120,27.6779138530,41.7615135010,99.9598078820
1989,6.3691980343,56.3735692710,57.2786257050,19.0110933260,3.7651081090,24.6153374030,24.3627608820,20.0631420530,18.9926627270,29.7474803490,23.3111849390,1118622.9760000000,30.9754538560,16.9428045410,30.6177824260,46.3905352030,100.0508598900
1990,6.8171540579,54.0441872790,55.2031285650,21.1097900760,4.7832078930,24.8460226450,24.0951428490,18.5123874790,17.9767890980,30.6555692380,24.8751248750,1135160.0640000000,23.9024799420,12.7616301790,23.5105798640,36.7929685540,100.2722680200
1991,7.6218375843,53.0623419700,53.4559777490,21.6841402850,5.3233919140,25.2535177440,25.6862745380,19.0059545400,18.0769199720,32.0229694530,27.6457883370,1150755.9680000000,21.3241133870,12.1409621980,21.1245130930,32.5038417350,100.2067740500
1992,8.2862979077,53.2972491640,53.2011306240,20.4914373600,5.5145921710,26.2113134760,26.2193142810,19.4953505580,19.0969732050,33.9838575980,29.9537531130,1164951.0400000000,21.5637711860,12.1602581960,21.5376887120,34.0742494680,100.0514300900
1993,9.0416812844,51.7202577020,51.5126683870,21.3925526100,5.7619581220,26.8871896880,26.8813890560,23.2170763560,22.6310084320,35.1939283540,28.6020928360,1178402.0480000000,23.3383887060,13.1830930300,23.8028597420,37.1360735810,99.7863395930
1994,9.5101515070,50.0557297520,50.3270268980,23.6906265840,8.6187429430,26.2536436640,26.2703012460,22.3422228560,22.1471571370,37.9793202310,39.5002974420,1190918.0160000000,19.1434144120,10.6880193020,19.2525581970,29.5610053740,99.8090223570
1995,9.8939927538,51.6831767830,51.7423155930,24.0464340000,8.3514165880,24.2703892170,23.8510382920,22.4666551690,22.2201328190,37.4622611290,37.2827804110,1203324.0320000000,22.6024949400,12.4785210470,22.8225559730,34.5032981650,98.3186868250
