Penn World Tables 6.1

"COL0","YEAR"
"COL1","Korea, Republic of/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Korea, Republic of/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Korea, Republic of/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Korea, Republic of/CURRENT SAVINGS (unit %)"
"COL5","Korea, Republic of/EXCHANGE RATE (unit US=1)"
"COL6","Korea, Republic of/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Korea, Republic of/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Korea, Republic of/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Korea, Republic of/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Korea, Republic of/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Korea, Republic of/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Korea, Republic of/POPULATION (unit 000S)"
"COL13","Korea, Republic of/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Korea, Republic of/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Korea, Republic of/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Korea, Republic of/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Korea, Republic of/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"
"COL18","Korea, Republic of/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)"

"YEAR","CC","CC2","KC","CSAVE","XRAT","CG","KG","CI","KI","OPENK","OPENC","POP","PC","PG","P","PI","CGNP","CGDP"

1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,11.4220101520,79.9055197020,75.0965578380,7.8596612021,17.8248213800,12.2348190960,16.7442800680,15.7778594750,12.4843496060,5.9928484308,11.7281967740,21264.8981380000,49.4378848730,22.7018033680,46.7667672190,51.9001273620,,268.8186491200
1954,11.9638687120,82.0134736800,77.1156464340,6.1702476991,17.8248213800,11.8162786210,15.8916409970,12.5601981100,10.0796756560,4.0683729303,8.5105009777,21469.3683220000,65.2214914830,40.7174643200,62.3159178340,63.6628039550,,275.8780928200
1955,12.0333966540,84.3239076130,78.8647453880,3.9799051140,49.4968617290,11.6961872730,15.1579670440,12.3876904930,9.8189762583,4.9750060737,11.6240548840,21673.8385160000,37.4946489690,20.4427771930,35.6813299930,37.7258455190,,298.0442187700
1956,11.6262562270,87.5647944180,79.8350033360,-0.2743526150,49.5067810530,12.7095581970,15.7870129810,11.7028373700,8.8455546156,5.4450264257,14.6557870020,22389.4841450000,49.3915150140,24.9201993100,45.6783138960,40.4386249950,,297.3326975100
1957,12.5842419420,82.7786662240,77.6183811520,5.5434743418,49.5067810530,11.6778594340,14.6605664390,16.2849772570,12.5281074260,6.0208083661,13.6561910270,23105.1297740000,52.9243359110,36.0424248840,51.1477436850,52.9490268120,,332.8520347800
1958,12.9328825890,82.9495652690,77.9006883770,4.8738693328,49.5067810530,12.1765653980,15.1626818380,13.8221760510,10.7408264090,5.3018260034,12.9426798960,23820.7753920000,51.3159927260,39.9241095090,50.1281736120,51.9890509900,,342.3542345600
1959,12.1123716540,85.5896537050,80.2177261600,2.3793562007,49.5067810530,12.0309900940,14.7296450780,10.2077931730,7.8638580389,4.5220194570,13.0542022780,24536.4210110000,51.4062571930,46.2805720700,51.7080699120,60.6355841470,,342.3573309500
1960,11.6894053090,86.7015995360,80.2748278410,1.0600242827,63.1258565370,12.2383761820,14.5788467710,10.6863252220,8.2078042633,5.0501395134,16.1244305660,25252.0666290000,44.1937084630,39.8412230040,44.2615135690,49.8739190170,100.0066052400,337.6390082600
1961,11.8724886750,85.1808276220,78.6194543190,2.9662575166,124.7933955900,11.8529148620,13.7338689660,12.7840723530,9.8438271849,4.8087198582,20.6524763580,25981.7233930000,25.3128635120,22.3938570000,25.2893682420,27.8174282280,100.0296529200,348.4885940000
1962,11.2031593640,87.6758840420,80.0421747990,0.1976266682,130.0017639600,12.1264892900,13.6803928460,12.0185376460,9.4088801960,6.0131245235,21.8724668710,26700.3614760000,28.4517829390,25.5995314940,28.6928575010,33.5726200630,99.5221224360,347.9160410000
1963,11.9689056440,77.7332706020,73.0965637240,10.9554627500,130.0017639600,11.3112666480,12.9512601920,22.1045434390,17.8146099610,6.7172988364,20.5726550980,27410.3845890000,38.2957122170,26.4431036660,35.7432371100,31.5261878340,99.7948510850,386.9178650900
1964,12.1718603000,82.1058269760,77.8646831700,7.5347219171,213.8495965600,10.3594511070,11.8320610800,15.1938701120,12.3594955280,5.3090438232,19.1122788590,28114.1964380000,29.7394627400,17.5977848350,28.2829190730,27.6972488940,99.6672635960,417.2973540000
1965,11.8161825690,82.0556721020,77.9408913030,7.3342032601,266.4044021700,10.6101246380,11.7940203710,14.8978517830,12.1203037760,6.0526637295,24.3731643750,28814.2007330000,24.3641299480,15.9628513960,23.7364714060,25.8157063260,100.1549260900,434.7610832600
1966,12.3582930520,76.5907918120,72.5593174250,12.8775998570,271.3411756500,10.5316083310,11.4554806570,23.0171712700,18.7975312170,8.1245420056,30.3992164260,29508.7916340000,26.6666361310,18.6939643260,25.8178305630,26.2529439110,100.5833423400,492.0569388300
1967,12.6180648250,75.2695280160,71.4651650050,13.7700336580,270.5203637100,10.9604383260,11.7458979000,24.6462035760,20.2520723020,10.0882875820,33.1867326750,30196.3633030000,30.8696437360,20.8588775640,29.3112555460,28.3108022360,101.0395656800,523.0223989400
1968,13.2247677570,72.4191983050,68.5282053150,16.6518591070,276.6487427700,10.9289425880,11.4722665840,29.6316763800,24.5257523640,12.8188378150,37.8186024970,30879.3194480000,34.1718631240,23.6120968590,32.1282457260,30.2746674530,100.7737860700,592.9486822800
1969,14.5764086720,74.7314016250,71.3490232010,14.7993409170,288.1647071200,10.4692574570,10.9232987110,26.9598015130,22.3967986890,14.4911483010,38.3586565360,31560.0637780000,32.6698460280,24.9598646690,33.3311992920,38.4152691350,100.4557374400,701.1421222000
1970,15.7584446700,75.6758156850,73.1207505490,13.8566069020,310.5600000000,10.4675774130,10.7339402180,24.0173849780,20.2663719960,14.9440719010,37.7185402090,32241.0000000000,35.0482856580,23.3937729570,34.5410328520,37.8010895230,99.9427564950,787.9644939200
1971,16.3024258400,75.3731277620,72.9051253230,13.9947438660,347.1500000000,10.6321283720,10.6269891760,24.5390808350,20.8766968270,16.5124209880,40.7183644000,32883.0000000000,34.8875661140,23.3763696200,33.8494257130,35.1984162480,99.3294072390,874.4936072700
1972,16.3995371660,73.4326610680,73.1670945870,16.1969802440,392.8900000000,10.3703586880,10.4585002640,20.8858781040,18.4916109430,18.0358976190,43.7678410650,33505.0000000000,34.2897784420,23.8938458840,33.1248352690,33.6124275900,98.9061750890,956.6735206100
1973,17.4115531620,68.9248363350,69.5925405030,21.7636098300,398.3200000000,9.3115538343,9.3987205453,24.8147671970,22.1414303580,23.1727765360,61.0845051590,34103.0000000000,36.2426000590,24.3272063340,35.1960588200,36.3676684990,98.9321904690,1124.9293309000
1974,17.7568637260,71.6083121940,68.9242048030,18.2515016030,404.4700000000,10.1401862030,9.5989254304,29.5050144590,24.6909234570,23.2273514280,65.8453581200,34692.0000000000,43.7772355000,32.2749312110,43.9340327410,48.3215393630,98.8602946020,1232.2830749000
1975,19.1647373220,69.7401203770,67.9056402170,19.7383308540,484.0000000000,10.5215487690,10.0398366830,28.2179431210,23.4972359720,23.9002131950,62.9376317820,35281.0000000000,42.7689332980,33.9200135980,41.7248659020,42.0546471420,98.2548078330,1435.5296086000
1976,21.0181514660,63.8159535810,65.4512114610,26.8879096640,484.0000000000,9.2961367544,9.3504019704,28.7067893930,25.3635075550,28.2101170890,62.9921057330,35849.0000000000,48.5268127930,41.1024694710,46.3677365950,43.2731075870,98.6133337140,1739.8672470000
1977,22.2221157890,59.7001344380,62.1983716090,31.2754582330,484.0000000000,9.0244073286,9.0280493880,31.9474934540,28.9467429110,30.8855793820,62.6385863680,36412.0000000000,53.4396823170,45.1110834720,50.1775631840,45.5128161870,98.6620601260,2029.3446487000
1978,22.6605107580,59.0052844620,61.1940003610,31.7765299260,484.0000000000,9.2181856119,9.2109637942,35.4248382830,31.7822444610,34.1837659330,61.5045943880,36969.0000000000,61.4737979800,50.8813893800,58.4867417590,55.4904104490,98.7236465830,2315.6310262000
1979,23.1366297640,59.8143510010,61.0495040040,31.4377049690,484.0000000000,8.7479440298,8.6643904692,38.4670075200,34.1592518670,33.9594210450,61.1558343790,37534.0000000000,68.3846554870,56.9223058010,65.3246657090,62.4773444470,98.3109828010,2615.2636728000
1980,21.6936581920,64.0021155350,62.8715142050,25.8184603300,607.4300000000,10.1794241350,9.6060678459,33.6576183680,29.1444376770,35.2392260610,73.3241652880,38124.0000000000,63.8794161070,54.5140717300,61.8058896800,60.0682869280,99.1783214470,2640.1892485000
1981,22.5192729120,62.4372341600,61.7653986230,27.4909414250,681.0300000000,10.0718244150,9.5361979908,32.9127604200,28.8877653790,36.7423511600,75.5437299350,38723.0000000000,62.3012240580,52.9970458450,59.1126954790,54.9353747540,98.7254815060,3039.5065718000
1982,25.4300778300,60.3831746610,61.3261106330,30.6667455170,731.0800000000,8.9500798215,8.7595530679,33.2176666150,29.5786611780,36.1564143200,70.4045037010,39326.0000000000,57.8844343720,51.9762560520,53.5490265850,46.0918723330,99.1346890480,3535.5143130000
1983,27.0250262420,58.8728956440,60.0102147610,32.8258073920,775.7500000000,8.3012969646,8.1688768000,33.9138554920,30.7597047610,36.6375242370,68.5482830980,39910.0000000000,54.1412427790,49.7106938470,51.0690214060,46.0682721440,99.0366049410,4038.7843699000
1984,27.1028590350,58.3822550900,59.5071977530,33.9596082190,805.9800000000,7.6581366911,7.5126726253,34.1819261110,31.7729267600,36.5993113270,68.6277387720,40406.0000000000,52.2997938660,48.0308915980,50.1775551090,47.0337404060,98.6048633220,4467.4991970000
1985,27.8921352670,58.3317809200,59.5833910460,34.0299036020,870.0200000000,7.6383154781,7.5098787492,33.2813082150,31.0340079200,35.1619948510,65.0321182100,40806.0000000000,48.4544717460,46.2882520760,46.9098408710,44.3452428120,97.7684802910,4882.4626945000
1986,30.8970428180,55.3028294340,58.1408501290,37.4624775570,881.4500000000,7.2346930093,7.3685718035,32.1063632090,31.1018336160,39.0330485640,68.0674226730,41214.0000000000,47.4641145160,47.5377184660,46.1051453070,43.4415278550,97.8544554860,5663.6833335000
1987,33.6589198030,53.0579847640,56.2539077170,40.2849078570,822.5700000000,6.6571073788,6.9945277500,32.8692854500,32.5606713740,42.6653098820,71.6725391360,41622.0000000000,51.1640005860,53.3387075010,49.8696795860,47.0777796720,98.8255184450,6512.7338915000
1988,35.8830436040,51.7039710620,55.1317817740,41.8459386410,731.4700000000,6.4500902968,6.8093467242,34.3665929050,34.0622981740,43.5322993990,67.9918707960,42031.0000000000,59.2482559580,62.2373464690,57.9746627940,55.2585216000,99.2650175610,7412.0307485000
1989,36.4087899380,53.9634042480,56.9683647190,39.2974695490,671.4600000000,6.7391262034,6.9301343932,37.0968178920,36.4872324760,43.1155906130,61.9790498880,42449.0000000000,66.4722902500,70.6682242620,64.9452686080,61.6843148800,99.7388611110,8005.7923265000
1990,38.4202986770,55.2588706250,57.1721645950,37.9070490850,707.7640000000,6.8340802897,6.7130616402,39.0705489030,38.4297123470,43.0139657680,59.3528086380,42869.0000000000,67.0347740660,70.2156402100,66.6723600010,65.5400069980,99.9653238030,8838.5698765000
1991,42.6865016020,54.6058074990,56.3969279340,39.1376967720,733.3530000000,6.2564957283,6.5240478896,42.1470142810,41.0968290770,45.3228203720,57.7185296820,43296.0000000000,69.2806282500,78.2274512980,68.0605422170,64.9705722990,99.9445755640,10018.9794240000
1992,43.2352800790,55.4180424520,56.5589314660,38.1533611810,780.6510000000,6.4285963668,6.5748015782,39.6422929150,39.7032632540,46.5281139870,56.7937733210,43748.0000000000,69.0108918080,77.6937027970,67.8689291210,64.6792841300,99.8742368740,10600.3061950000
