Penn World Tables 6.1

"COL0","YEAR"
"COL1","Taiwan/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Taiwan/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Taiwan/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Taiwan/CURRENT SAVINGS (unit %)"
"COL5","Taiwan/EXCHANGE RATE (unit US=1)"
"COL6","Taiwan/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Taiwan/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Taiwan/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Taiwan/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Taiwan/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Taiwan/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Taiwan/POPULATION (unit 000S)"
"COL13","Taiwan/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Taiwan/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Taiwan/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Taiwan/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Taiwan/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"
"COL18","Taiwan/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)"

<<<<<<< HEAD
"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18"
=======
"YEAR","CC","CC2","KC","CSAVE","XRAT","CG","KG","CI","KI","OPENK","OPENC","POP","PC","PG","P","PI","CGNP","CGDP"
>>>>>>> 0906998155bd8b91dbff14243805ce7c8679e618

1950,,,,,,,,,,,,,,,,,,
1951,8.2701188257,73.3586638550,66.8853096830,4.2406892964,10.3000000000,22.4006468490,29.7697016410,8.9373148642,6.9353820968,15.3587001300,25.0892277740,8255.0000000000,79.2304137850,63.9368559720,80.2567891300,129.5859881000,,180.6577274000
1952,8.9797684590,74.4485218090,69.2609429570,4.1498532430,10.3000000000,21.4016249480,28.8333238300,10.2538472140,7.9932979258,16.6373322730,22.1726276740,8541.0000000000,95.6120326820,76.6432262370,96.4767664240,144.1513735400,,203.2570366900
1953,9.3221413553,74.0255466450,69.3172366420,5.7171164402,15.5500000000,20.2573369140,27.6227966270,10.8837468040,8.5805007903,17.1371251900,22.4526247010,8822.0000000000,77.8866384510,58.4554974690,76.2688703230,98.4207385960,,219.3979354600
1954,9.9661843781,75.5225914760,69.3973447940,2.6084609194,15.5500000000,21.8689476050,28.7425026750,10.9682450810,8.6019296777,14.6200915700,21.3259800030,9134.0000000000,75.7115168700,64.5253182100,77.2153379110,112.8718932800,,229.8129480700
1955,9.8411838785,73.2188989830,68.0024121840,4.2454079187,15.5500000000,22.5356930980,29.0025715750,8.5648102068,6.7415933126,13.1646315020,20.8298589110,9480.0000000000,82.1890967280,69.8366088890,83.4387074030,129.9111715600,,243.7473013700
1956,9.7066414077,71.6771694970,65.4005185360,2.7527178478,24.7800000000,25.5701126550,31.7862052100,9.6082830904,7.2680217484,14.4993531970,24.9317058990,9823.0000000000,55.9557813360,45.3699356960,56.9465554430,95.1460288820,,248.2400023800
1957,10.1790026950,70.5349793530,65.0133416500,3.8886110892,24.7800000000,25.5764095580,31.5630435270,9.0064763221,6.8109079908,14.2579313220,24.4791277720,10133.0000000000,58.2437755670,46.8522361450,59.4244996750,104.3739002200,,269.2336792800
1958,10.8057690730,71.1656978810,65.4405779590,2.9228228107,24.7800000000,25.9114793080,31.5931301860,9.2965273875,7.0734495948,14.4584032320,27.2294622600,10460.0000000000,58.8182365050,48.6115120190,60.6478233010,108.2013272700,,286.0461134100
1959,10.5891613010,70.3759686210,64.1457496020,2.9378484730,36.3800000000,26.6861829060,31.7739927860,11.1970655740,8.3888503243,15.9442653610,33.6214380800,10806.0000000000,43.0377216800,34.2168381750,44.0521064760,73.8683185170,,299.3036461900
1960,10.9287380130,68.6748701260,63.6005913360,5.7474508300,36.3800000000,25.5776790440,30.4769526380,13.2698083260,10.1946961750,16.7438522250,30.5341801720,11155.0000000000,48.3761258060,36.7209752420,48.7939719870,74.2272532900,,315.6677492700
1961,11.3709370420,69.1438212380,64.5839908400,5.6064339569,40.0000000000,25.2497448050,29.6079309090,12.6949367340,9.8925586252,18.6908513280,35.0798795030,11510.0000000000,44.7441808110,34.7522859090,45.5812640580,71.6789182700,,333.7667417900
1962,11.5630390430,68.5198870120,64.9518229880,6.2072717172,40.0000000000,25.2728412710,29.6042137340,11.5430070170,9.3829899306,17.7375424870,32.5470781110,11857.0000000000,44.6483433800,35.8717433800,45.3049701120,69.8563223670,,359.0921663400
1963,12.3138395710,65.1795904970,64.0126717890,11.0387628400,40.0000000000,23.7816466630,28.4385216840,12.1837222680,10.2550803160,19.2351840830,36.9882638790,12210.0000000000,44.1224798960,35.4468009910,44.8788691110,67.3359839870,,398.0685168500
1964,13.0677391860,65.2002123730,65.3498356090,12.6339625940,40.0000000000,22.1658250340,26.7569438130,11.8739053200,10.2083338560,21.1834265810,39.1963988000,12570.0000000000,43.7903952280,35.6233211010,45.2658816990,71.3682746390,,448.0114666500
1965,13.0007356300,66.6799590480,65.2080040260,11.0332816760,40.0000000000,22.2867592760,25.5056932240,14.0281230550,11.7500102160,23.7715749210,41.6551981320,12928.0000000000,43.3197891100,34.4682838030,45.5312721510,73.6191179180,,478.3451738900
1966,13.3508190230,64.0553821190,63.8032116620,13.8084447660,40.0000000000,22.1361731150,25.3157876610,13.5315089930,11.6189098160,24.1811898380,43.4011521800,13283.0000000000,42.5977095450,34.9820417830,44.6195744330,69.9566908870,,531.5752840300
1967,14.1945932250,63.6426042860,63.4552168260,13.9744449080,40.0000000000,22.3829508060,25.1895158650,16.0215313240,13.8250796650,26.9160570430,46.3299889590,13617.0000000000,42.8554793680,35.5674127250,45.5005079110,69.8844745810,,588.3699523900
1968,14.5706146980,63.4347649870,63.6219742700,14.1228155510,40.0000000000,22.4424194620,24.9692169060,16.9632470240,14.8812449180,32.2807948070,51.3581988650,13945.0000000000,44.1252722940,37.0780642330,46.6828295120,68.9540498590,,653.2913805500
1969,15.4117256810,61.3037559150,62.7020213440,16.0248966570,40.0000000000,22.6713474280,25.3410622980,16.7477980090,14.9051559520,35.7326638750,54.4419851360,14264.0000000000,43.9652607610,37.7390649500,46.5717800240,68.0694702090,,741.3218367800
1970,17.0601462220,59.7637257680,61.7940989080,17.7286336830,40.0000000000,22.5076405480,24.6983972270,17.7788165870,16.0538407180,40.3170001770,60.5742861040,14565.0000000000,43.0948902180,37.0077236110,45.7090862520,65.5124986870,,853.0530623400
1971,18.5704596360,57.7942895510,60.5176959750,20.8691941670,40.0000000000,21.3365162830,23.0871046030,18.4129674730,16.9583350570,45.6139863880,68.5471994550,14865.0000000000,41.7733345670,35.9853625160,44.5954376780,63.4305577510,,996.1553204200
1972,20.0507466770,56.1687425790,59.9823995930,24.1840714140,40.0000000000,19.6471860080,21.2362867700,17.8719164120,16.9588236360,51.6924436540,78.2707220160,15142.0000000000,41.4651553890,36.4733116920,44.7245928290,64.0394189430,,1169.6682790000
1973,20.7503238670,56.4840215100,59.6866929610,24.4929714030,38.2500000000,19.0230070870,20.0951248000,19.1316813790,17.8654338530,57.3482419120,89.1923703970,15427.0000000000,46.3254034090,41.4309409530,51.8713861360,78.6263827390,,1340.6413388000
1974,19.5489484330,62.6670164600,62.3313882880,18.7932932080,38.0000000000,18.5396903310,18.1358793620,26.6330128750,23.0314486210,58.7492773950,95.7175075530,15709.0000000000,58.9158856330,51.6104708600,67.7279862550,99.6823807160,,1356.6493868000
1975,21.1863942460,60.9582316520,62.2568874510,19.4904229810,38.0000000000,19.5513453670,19.5684087720,22.7104126770,19.8357369070,54.2604156140,82.5334201040,16001.0000000000,57.2928578530,49.3296475820,61.1507888950,81.6828627610,,1586.9612888000
1976,22.9893531320,57.2722053640,60.0155851910,24.4030091260,38.0000000000,18.3247855100,18.8320842980,22.2843650580,20.1166965980,62.3207936790,92.7966101690,16329.0000000000,54.5620811640,49.9106612040,59.9572527920,82.0846507290,,1903.0418830000
1977,23.9503988750,55.3481702220,58.4626373300,25.8932042240,38.0000000000,18.7586255540,19.0260082450,20.9534451880,19.2481849940,61.5577555320,92.8915662650,16661.0000000000,55.7130315920,49.6616196930,59.9391080950,80.3031653820,,2187.1730961000
1978,25.2724549980,54.3964397330,57.0009679730,27.9168595560,36.9500000000,17.6867007110,17.8566617510,21.4652466530,19.4583669570,64.5644479620,98.1854838710,16974.0000000000,56.5214284330,52.3598862390,61.2443365370,80.5334696270,,2582.5402405000
1979,25.7617348640,56.8440133620,58.5212004010,25.2794717450,36.0000000000,17.8765148930,17.8593900900,24.1079236280,21.5939207500,67.1111942270,105.6066945600,17308.0000000000,58.5615182940,56.7276888290,65.8609555540,89.8447833060,,2911.9940988000
1980,26.6694356200,57.5326232570,57.3604874570,23.7158673260,36.0000000000,18.7515094170,17.9596445960,24.9231107870,21.9035048210,66.9692438900,106.2374245500,17642.0000000000,64.7560924840,61.3120313110,72.3287958050,98.0983899720,,3245.7576571000
1981,27.5755470880,56.2666874350,56.4517037460,25.4460214540,36.7900000000,18.2872911120,17.5606507420,23.4167091650,20.8448903750,66.6975781630,101.8038331500,17970.0000000000,66.5930411070,63.5573717580,72.0946255660,91.9812447980,,3721.9699286000
1982,29.8410750750,55.8459946040,57.1447383940,25.8873827940,39.1199000000,18.2666226020,18.0122528460,20.7740459460,18.6373953340,64.3023378910,95.2556668420,18297.0000000000,60.2991194630,59.1765683170,63.8807977740,77.6457029100,,4148.7701591000
1983,31.1413716150,54.9730293220,56.5861238190,27.6053985460,40.0600000000,17.4215721320,17.3122785520,19.1768271170,17.5643564570,67.7381102890,97.2857142860,18596.0000000000,57.1905227420,56.2909802530,60.5712495010,74.1510669100,,4653.9560708000
1984,31.9958830580,54.1961847810,56.2934793950,28.9187953190,39.6199000000,16.8850199010,16.8800477800,17.8124305170,16.8727013000,71.1979963230,101.6659547200,18873.0000000000,55.6775932520,55.8654846120,59.3613297650,73.8833165030,,5274.0407085000
1985,32.7506291360,53.9194975630,56.6877365440,29.2445323790,39.8600000000,16.8359700590,17.0371433580,15.4793501920,14.8563972130,67.5180949460,94.7368421050,19136.0000000000,53.4391367150,54.1962797950,56.4848108140,69.5829612120,,5732.9323640000
